National_BMI_1985,Rural_BMI_1985,Urban_BMI_1985,National_BMI_2017,Rural_BMI_2017,Urban_BMI_2017,Country,Sex
24.1,24.3,24,25.9,26,25.9,Netherlands,Men
24.3,24.5,24.2,25,24.9,25,Netherlands,Women
25.3,25.3,25.3,28.1,28,28.1,New Zealand,Men
24.6,24.8,24.6,28,28,28,New Zealand,Women
24.2,23.6,24.8,26.8,26.1,27.2,Nicaragua,Men
23.6,22.6,24.5,28,27.3,28.5,Nicaragua,Women
19.6,19.5,20.8,21.4,21.2,22.4,Niger,Men
20,19.6,22.4,22.3,21.6,25.3,Niger,Women
21,20.8,21.7,22.5,22.1,22.9,Nigeria,Men
22.2,21.8,23.5,24.1,23.1,25,Nigeria,Women
29.4,28.8,30.7,31.6,31.5,31.6,Niue,Men
31.5,31.2,32.2,33.2,32.8,33.8,Niue,Women
22,21.5,22.4,24.5,24.1,24.7,North Korea,Men
22.3,21.8,22.6,24.2,24,24.3,North Korea,Women
24.5,24.7,24.4,26.7,26.8,26.7,Norway,Men
23.7,24.3,23.4,25.2,25.8,25,Norway,Women
25,24.6,25.2,27.9,27.4,28.1,Occupied Palestinian Territory,Men
26.7,25.8,27.3,29.8,29.5,29.9,Occupied Palestinian Territory,Women
23.5,22.9,23.9,26.5,25.6,26.7,Oman,Men
25.1,24.3,25.7,27.2,27,27.3,Oman,Women
20.5,19.8,22.2,23.4,23.1,23.9,Pakistan,Men
21,20.2,22.8,24.8,23.9,26.2,Pakistan,Women
28.2,27,28.8,29.5,29.5,29.5,Palau,Men
28.7,28.1,28.9,29.7,29,29.8,Palau,Women
23.8,23.1,24.3,26.4,25.6,26.8,Panama,Men
23.9,23.1,24.6,27.9,27.3,28.1,Panama,Women
22.6,22.4,24.1,25.4,25.3,25.7,Papua New Guinea,Men
22.2,22,23.5,25.7,25.6,26.9,Papua New Guinea,Women
24.1,23.4,24.9,27,26,27.6,Paraguay,Men
24.6,24.1,25.3,28.1,27.9,28.3,Paraguay,Women
23.2,22,23.8,26.5,24.5,27,Peru,Men
24.5,23.3,25.1,27.5,26,27.9,Peru,Women
21.1,20.7,21.7,23,22.5,23.6,Philippines,Men
20.1,19.5,20.9,23.5,23,24.1,Philippines,Women
25.4,25.3,25.4,27.5,27.5,27.4,Poland,Men
26,26.3,25.7,26,26.4,25.7,Poland,Women
24.4,24.6,24.1,26.3,26.4,26.2,Portugal,Men
25.4,25.6,25.1,25,25.1,25,Portugal,Women
25.8,24.8,25.9,28.4,27.6,28.4,Puerto Rico,Men
25.4,24.3,25.7,28.8,28.3,28.8,Puerto Rico,Women
25.7,25,25.7,28.7,27.9,28.7,Qatar,Men
26.8,25.2,27,30.4,29.6,30.4,Qatar,Women
24.3,24.3,24.3,27,27.1,26.9,Romania,Men
25.2,25.3,25.2,26.8,27,26.7,Romania,Women
24.8,24.9,24.8,26.1,25.8,26.2,Russian Federation,Men
26.6,26.7,26.5,26.7,26.9,26.6,Russian Federation,Women
19.4,19.4,20.2,21.4,21.1,22.1,Rwanda,Men
20.3,20.3,21.5,23,22.4,24.5,Rwanda,Women
25.6,25.3,26.2,28.5,28.3,28.9,Saint Kitts and Nevis,Men
26.8,26.4,27.7,30.8,30.7,31.1,Saint Kitts and Nevis,Women
25.2,25.1,25.5,29.2,29.2,29.2,Saint Lucia,Men
25.8,25.5,26.5,30.5,30.5,30.5,Saint Lucia,Women
23.6,23.2,24.2,26.4,26,26.7,Saint Vincent and the Grenadines,Men
24.6,24.1,25.4,28.3,28,28.5,Saint Vincent and the Grenadines,Women
27.5,27,29.6,30.4,30.3,31.1,Samoa,Men
30,29.7,30.8,33.9,33.7,34.7,Samoa,Women
21.7,21.2,22.4,23.8,23.1,24.2,Sao Tome and Principe,Men
22.5,22,23.2,25.7,24.5,26.3,Sao Tome and Principe,Women
25.6,24.8,25.9,28,27,28.2,Saudi Arabia,Men
27.2,25.9,27.7,29.5,28.9,29.6,Saudi Arabia,Women
20,19.6,20.7,21.7,21.3,22.3,Senegal,Men
21.9,21.2,23.2,23.7,22.4,25.3,Senegal,Women
25.2,25.1,25.3,27,27,27.1,Serbia,Men
25.7,26,25.5,25.5,25.9,25.3,Serbia,Women
22.8,22.6,23.1,25.6,25.2,25.9,Seychelles,Men
25.1,25,25.1,27.9,27.6,28.2,Seychelles,Women
20.3,20,21.1,22,21.6,22.5,Sierra Leone,Men
21.5,20.9,22.8,23.6,22.5,25.1,Sierra Leone,Women
22.8,NA,22.8,24.4,NA,24.4,Singapore,Men
23.5,NA,23.5,23,NA,23,Singapore,Women
25.6,25.5,25.6,27.4,27.4,27.4,Slovakia,Men
25.3,25.6,25.1,25.6,25.9,25.3,Slovakia,Women
25.1,25,25.2,26.8,26.8,26.9,Slovenia,Men
26,26.1,25.9,27,27,26.9,Slovenia,Women
23,22.8,24.2,25.7,25.7,25.7,Solomon Islands,Men
24.1,23.9,25.3,26.9,26.5,28.1,Solomon Islands,Women
20.5,20.2,21.2,22.5,22,23.3,Somalia,Men
21.3,20.9,22.4,24,23,25.4,Somalia,Women
23.1,22.5,23.7,25.1,24.2,25.6,South Africa,Men
27,26.2,27.8,29.6,28.7,30,South Africa,Women
22.2,22,22.4,24.6,24.5,24.6,South Korea,Men
22.3,22.2,22.4,23.1,23.3,23.1,South Korea,Women
25.3,25.6,25.2,27,27,26.9,Spain,Men
25.5,25.9,25.4,24.8,25.1,24.7,Spain,Women
20.1,20,20.8,22.6,22.4,23.3,Sri Lanka,Men
20.5,20.3,21.5,23.7,23.6,24.4,Sri Lanka,Women
21,20.8,21.9,22.9,22.5,23.8,Sudan (former),Men
22.4,22,23.9,24.4,23.4,26.4,Sudan (former),Women
23.2,22.6,23.5,25.6,25.2,25.8,Suriname,Men
24.9,24,25.4,28.3,28,28.4,Suriname,Women
22.4,22.2,23.3,24.4,24.1,25.4,Swaziland,Men
